departamento_id,departamento_nombre,provincia_id,provincia_nombre,anio,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos
21,Comandante Fernández,22,Chaco,2023,19,Dengue,5,De 5 a 9 años,1
434,Lanús,6,Buenos Aires,2023,19,Dengue,12,Mayores de 65 años,3
43,Fray Justo Santa María de Oro,22,Chaco,2023,19,Dengue,9,De 25 a 34 años,5
14,Capital,46,La Rioja,2023,19,Dengue,7,De 15 a 19 años,3
42,Eldorado,54,Misiones,2023,19,Dengue,11,De 45 a 65 años,1
21,Comandante Fernández,22,Chaco,2023,19,Dengue,11,De 45 a 65 años,8
35,Ledesma,38,Jujuy,2023,19,Dengue,6,De 10 a 14 años,2
1,COMUNA 1,2,CABA,2023,19,Dengue,10,De 35 a 44 años,23
133,Quitilipi,22,Chaco,2023,19,Dengue,12,Mayores de 65 años,4
14,Cruz Alta,90,Tucumán,2023,19,Dengue,9,De 25 a 34 años,13
49,General Obligado,82,Santa Fe,2023,19,Dengue,6,De 10 a 14 años,18
21,Colón,14,Córdoba,2023,19,Dengue,10,De 35 a 44 años,3
39,2 de Abril,22,Chaco,2023,19,Dengue,9,De 25 a 34 años,1
63,Choya,86,Santiago del Estero,2023,19,Dengue,4,De 2 a 4 años,1
84,Paraná,30,Entre Ríos,2023,19,Dengue,7,De 15 a 19 años,2
105,Río Primero,14,Córdoba,2023,19,Dengue,12,Mayores de 65 años,1
119,San Lorenzo,82,Santa Fe,2023,19,Dengue,9,De 25 a 34 años,1
84,Capital,90,Tucumán,2023,19,Dengue,2,Posneonato (29 hasta 365 días),1
1,COMUNA 1,2,CABA,2023,19,Dengue,12,Mayores de 65 años,8
70,Santa Bárbara,38,Jujuy,2023,19,Dengue,9,De 25 a 34 años,3
105,Tafí Viejo,90,Tucumán,2023,19,Dengue,12,Mayores de 65 años,9
28,Almirante Brown,6,Buenos Aires,2023,19,Dengue,11,De 45 a 65 años,1
63,Iguazú,54,Misiones,2023,19,Dengue,6,De 10 a 14 años,1
9,COMUNA 9,2,CABA,2023,19,Dengue,10,De 35 a 44 años,3
441,La Plata,6,Buenos Aires,2023,19,Dengue,11,De 45 a 65 años,1
7,Almirante Brown,22,Chaco,2023,19,Dengue,7,De 15 a 19 años,4
98,Río Cuarto,14,Córdoba,2023,19,Dengue,12,Mayores de 65 años,2
140,San Justo,14,Córdoba,2023,19,Dengue,6,De 10 a 14 años,1
42,Palpalá,38,Jujuy,2023,19,Dengue,10,De 35 a 44 años,2
7,Almirante Brown,22,Chaco,2023,19,Dengue,9,De 25 a 34 años,5
126,Orán,66,Salta,2023,19,Dengue,6,De 10 a 14 años,5
133,San Cosme,18,Corrientes,2023,19,Dengue,11,De 45 a 65 años,1
14,Capital,14,Córdoba,2023,19,Dengue,7,De 15 a 19 años,18
28,Almirante Brown,6,Buenos Aires,2023,19,Dengue,7,De 15 a 19 años,1
98,Mayor Luis J. Fontana,22,Chaco,2023,19,Dengue,11,De 45 a 65 años,27
91,Maipú,22,Chaco,2023,19,Dengue,10,De 35 a 44 años,1
14,Formosa,34,Formosa,2023,19,Dengue,11,De 45 a 65 años,6
140,San Fernando,22,Chaco,2023,19,Dengue,7,De 15 a 19 años,32
49,General Obligado,82,Santa Fe,2023,19,Dengue,10,De 35 a 44 años,28
7,Anta,66,Salta,2023,19,Dengue,7,De 15 a 19 años,6
14,COMUNA 14,2,CABA,2023,19,Dengue,9,De 25 a 34 años,2
112,Valle Viejo,10,Catamarca,2023,19,Dengue,8,De 20 a 24 años,1
49,Capital,86,Santiago del Estero,2023,19,Dengue,4,De 2 a 4 años,3
91,San Cristóbal,82,Santa Fe,2023,19,Dengue,5,De 5 a 9 años,2
840,Tres de Febrero,6,Buenos Aires,2023,19,Dengue,7,De 15 a 19 años,3
28,Capital,66,Salta,2023,19,Dengue,7,De 15 a 19 años,9
539,Merlo,6,Buenos Aires,2023,19,Dengue,11,De 45 a 65 años,2
21,Capital,18,Corrientes,2023,19,Dengue,5,De 5 a 9 años,2
84,Paraná,30,Entre Ríos,2023,19,Dengue,8,De 20 a 24 años,3
